blockchain_timestamp,sensor_timestamp,rfid_tag,device_id,sensor_type,latitude,longitude,scan_status,temperature_c,is_flagged,temp_breach,goods_category,origin,destination
2026-06-04 16:21:45,2026-05-03 07:00:00,RFID-020,GPS291,GPS,14.601956,120.989036,,,False,,Industrial,Paco,Pandacan
2026-06-04 16:21:46,2026-05-03 07:00:00,RFID-011,GPS728,GPS,14.620032,120.962165,,,False,,Cool-Chain,Sampaloc,Santa Ana
2026-06-04 16:21:48,2026-05-03 09:00:00,RFID-020,GPS920,GPS,14.595757,120.981906,,,False,,Industrial,Paco,Pandacan
2026-06-04 16:21:48,2026-05-03 09:00:00,RFID-028,GPS356,GPS,14.374937,121.038127,,,False,,Industrial,Bayanan,Marikina Heights
2026-06-04 16:21:51,2026-05-03 09:00:00,RFID-011,GPS262,GPS,14.622406,120.970944,,,False,,Cool-Chain,Sampaloc,Santa Ana
2026-06-04 16:21:53,2026-05-03 11:00:00,RFID-020,GPS343,GPS,14.544307,120.958798,,,False,,Industrial,Paco,Pandacan
2026-06-04 16:21:54,2026-05-03 11:00:00,RFID-028,GPS501,GPS,14.474628,121.042294,,,False,,Industrial,Bayanan,Marikina Heights
2026-06-04 16:21:54,2026-05-03 11:00:00,RFID-011,GPS125,GPS,14.552821,120.960382,,,False,,Cool-Chain,Sampaloc,Santa Ana
2026-06-04 16:21:56,2026-05-03 13:00:00,RFID-020,GPS858,GPS,14.550873,120.954035,,,False,,Industrial,Paco,Pandacan
2026-06-04 16:21:58,2026-05-03 13:00:00,RFID-028,GPS805,GPS,14.521048,121.099622,,,False,,Industrial,Bayanan,Marikina Heights
2026-06-04 16:21:59,2026-05-03 13:00:00,RFID-011,GPS799,GPS,14.586248,121.02977,,,False,,Cool-Chain,Sampaloc,Santa Ana
2026-06-04 16:22:00,2026-05-03 14:00:00,RFID-007,GPS567,GPS,14.529191,121.019165,,,False,,Cool-Chain,Taguig City,Banco Filipino International Village
2026-06-04 16:22:01,2026-05-03 15:00:00,RFID-020,GPS852,GPS,14.547396,120.958379,,,False,,Industrial,Paco,Pandacan
2026-06-04 16:22:01,2026-05-03 15:00:00,RFID-011,GPS796,GPS,14.56466,121.02077,,,False,,Cool-Chain,Sampaloc,Santa Ana
2026-06-04 16:22:02,2026-05-03 15:00:00,RFID-028,GPS653,GPS,14.564057,121.056001,,,False,,Industrial,Bayanan,Marikina Heights
2026-06-04 16:22:05,2026-05-03 16:00:00,RFID-007,GPS312,GPS,14.509873,121.042269,,,False,,Cool-Chain,Taguig City,Banco Filipino International Village
2026-06-04 16:22:07,2026-05-03 17:00:00,RFID-018,GPS382,GPS,14.636106,120.962051,,,False,,Deep Freeze,Sampaloc,Bel-Air
2026-06-04 16:22:10,2026-05-03 17:00:00,RFID-028,GPS819,GPS,14.64609,121.082004,,,False,,Industrial,Bayanan,Marikina Heights
2026-06-04 16:22:11,2026-05-03 17:00:00,RFID-001,GPS985,GPS,14.264923,120.967416,,,False,,Pharma,General Mariano Alvarez,San Andres
2026-06-04 16:22:13,2026-05-03 18:00:00,RFID-007,GPS454,GPS,14.473569,121.015841,,,False,,Cool-Chain,Taguig City,Banco Filipino International Village
2026-06-04 16:22:15,2026-05-03 19:00:00,RFID-018,GPS875,GPS,14.556974,121.015227,,,False,,Deep Freeze,Sampaloc,Bel-Air
2026-06-04 16:22:16,2026-05-03 19:00:00,RFID-001,GPS963,GPS,14.40099,120.962512,,,False,,Pharma,General Mariano Alvarez,San Andres
2026-06-04 16:22:18,2026-05-03 20:00:00,RFID-007,GPS394,GPS,14.50597,120.969877,,,False,,Cool-Chain,Taguig City,Banco Filipino International Village
2026-06-04 16:22:19,2026-05-03 21:00:00,RFID-001,GPS174,GPS,14.472531,120.968201,,,False,,Pharma,General Mariano Alvarez,San Andres
2026-06-04 16:22:20,2026-05-03 21:00:00,RFID-018,GPS980,GPS,14.552817,120.974593,,,False,,Deep Freeze,Sampaloc,Bel-Air
2026-06-04 16:22:24,2026-05-03 22:00:00,RFID-017,GPS711,GPS,14.552779,121.028871,,,False,,Cool-Chain,Bel-Air,Bagumbayan
2026-06-04 16:22:25,2026-05-03 22:00:00,RFID-007,GPS613,GPS,14.495581,120.977954,,,False,,Cool-Chain,Taguig City,Banco Filipino International Village
2026-06-04 16:22:26,2026-05-03 23:00:00,RFID-001,GPS477,GPS,14.521417,120.977563,,,False,,Pharma,General Mariano Alvarez,San Andres
2026-06-04 16:22:29,2026-05-03 23:00:00,RFID-018,GPS931,GPS,14.532555,121.025508,,,False,,Deep Freeze,Sampaloc,Bel-Air
2026-06-04 16:22:30,2026-05-04 00:00:00,RFID-017,GPS571,GPS,14.568564,121.066331,,,False,,Cool-Chain,Bel-Air,Bagumbayan
2026-06-04 16:22:31,2026-05-04 00:00:00,RFID-015,GPS832,GPS,14.578106,120.996845,,,False,,Dry Goods,San Andres,Poblacion
2026-06-04 16:22:33,2026-05-04 01:00:00,RFID-001,GPS168,GPS,14.583952,120.974364,,,False,,Pharma,General Mariano Alvarez,San Andres
2026-06-04 16:22:36,2026-05-04 01:00:00,RFID-009,GPS943,GPS,14.576962,120.973019,,,False,,Industrial,Manila,Western Bicutan
2026-06-04 16:22:37,2026-05-04 01:00:00,RFID-018,GPS673,GPS,14.526185,121.065901,,,False,,Deep Freeze,Sampaloc,Bel-Air
2026-06-04 16:22:39,2026-05-04 02:00:00,RFID-015,GPS591,GPS,14.539197,120.964332,,,False,,Dry Goods,San Andres,Poblacion
2026-06-04 16:22:40,2026-05-04 02:00:00,RFID-017,GPS372,GPS,14.536609,121.068116,,,False,,Cool-Chain,Bel-Air,Bagumbayan
2026-06-04 16:22:41,2026-05-04 02:00:00,RFID-024,GPS510,GPS,14.473785,121.039301,,,False,,Industrial,Upper Bicutan,Santamesa
2026-06-04 16:22:42,2026-05-04 03:00:00,RFID-029,GPS686,GPS,14.526029,120.989625,,,False,,Cool-Chain,Santo Niño,Pasay City
2026-06-04 16:22:44,2026-05-04 03:00:00,RFID-009,GPS309,GPS,14.575115,120.946273,,,False,,Industrial,Manila,Western Bicutan
2026-06-04 16:22:46,2026-05-04 04:00:00,RFID-013,GPS149,GPS,14.53015,121.064244,,,False,,Frozen,Upper Bicutan,Banco Filipino International Village
2026-06-04 16:22:47,2026-05-04 04:00:00,RFID-017,GPS167,GPS,14.487676,121.096142,,,False,,Cool-Chain,Bel-Air,Bagumbayan
2026-06-04 16:22:48,2026-05-04 04:00:00,RFID-015,GPS624,GPS,14.485523,121.019585,,,False,,Dry Goods,San Andres,Poblacion
2026-06-04 16:22:49,2026-05-04 04:00:00,RFID-024,GPS734,GPS,14.551002,121.030139,,,False,,Industrial,Upper Bicutan,Santamesa
2026-06-04 16:22:50,2026-05-04 05:00:00,RFID-009,GPS757,GPS,14.589889,121.029639,,,False,,Industrial,Manila,Western Bicutan
2026-06-04 16:22:50,2026-05-04 05:00:00,RFID-029,GPS847,GPS,14.51133,120.97706,,,False,,Cool-Chain,Santo Niño,Pasay City
2026-06-04 16:22:56,2026-05-04 06:00:00,RFID-026,GPS585,GPS,14.52798,121.033333,,,False,,Frozen,Santo Niño,Payatas
2026-06-04 16:22:57,2026-05-04 06:00:00,RFID-024,GPS573,GPS,14.516303,120.994114,,,False,,Industrial,Upper Bicutan,Santamesa
